snail,id,disturbance,treatment,nTotal,nSteps,nMove,BnA
O24b,GeeGeronimo,undisturbed,C,192,129,8,y
P24b,Brian,undisturbed,C,192,191,9,y
O14a,DoorKeeper,undisturbed,C,192,143,10,y
O24a,Jellybean,undisturbed,C,192,163,12,y
P14a,Keme,undisturbed,C,192,173,15,y
P24a,Watcher,undisturbed,C,192,183,28,y
O11b,SpeedRacer,disturbed,1,192,180,11,y
O22a,Flail,disturbed,2,192,192,11,y
O22b,Abuto,disturbed,2,192,192,13,y
P23a,Neverending,disturbed,4,192,192,16,y
O23a,Larry,disturbed,4,192,191,17,y
P31a,BlankClaveringi,disturbed,1,192,187,17,y
P22a,Calypso,disturbed,2,192,192,23,y
O13a,Katsuyu,disturbed,4,192,186,24,y
P23b,SlowPoke,disturbed,4,192,72,5,n
O31a,Nerites,disturbed,1,192,116,6,n
P13a,Matisse,disturbed,4,192,112,6,n
P22b,Luna,disturbed,2,192,71,6,n
O12b,Moma,disturbed,2,192,32,7,n
P12a,Snail,disturbed,2,192,97,7,n
O11a,Ogoka,disturbed,1,192,31,11,n
P21a,Triton,disturbed,1,192,78,15,n
O12a,Dolittle,disturbed,2,192,0,NA,n
O21a,Randy,disturbed,1,192,9,NA,n
O21b,KaMattah,disturbed,1,192,5,NA,n
O23b,Snailiens,disturbed,4,192,0,NA,n
P11a,Iron,disturbed,1,192,5,NA,n
P11b,Gold,disturbed,1,192,0,NA,n
P12b,Knight,disturbed,2,192,25,NA,n
P21b,Marigold,disturbed,1,192,3,NA,n